id,description
4265,"Le samedi 17 mai 2025, la fête de la transhumance à Vendres vous invite à plonger dans un univers de traditions, de nature et de découvertes locales.

Dès 9h00, flânez sur le marché de producteurs locaux, avant de partir à 10h00 pour une balade nature « À la rencontre du troupeau », au départ de la place du Lavoir. 

À 11h30, vivez le défilé du troupeau, des chevaux, des ânes et des calèches dans les rues pittoresques du village, au départ des Aiguilles. 

Toute la journée, explorez des stands dédiés à la nature, aux étangs et à la laine avec des démonstrations de filage et la fabrication de moutons. Les enfants adoreront la mini-ferme pédagogique.

 À 12h00, régalez-vous avec un repas traditionnel de la transhumance (réservation conseillée). L’après-midi, profitez de multiples balades : découverte de l’étang de Vendres, patrimoine du village, en calèche ou à dos d’âne. 

Ne manquez pas les spectacles et démonstrations, comme celui des Treilles à 14h30, et les démonstrations de tonte à 15h00 et 16h00. 

Toute la journée, l’animation musicale de la « Fanfare Banzaï » et le jeu de piste Baludik ""l’esprit de Vénus"" enrichiront cette journée conviviale et festive. 

Venez célébrer la transhumance à Vendres, un événement à ne pas manquer !"
5207,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
1096,"À travers une visite guidée du site et des outils ludiques, découvrez l'étonnant passé viticole du Grand Clavelet.

Cette sortie est proposée le samedi matin et après-midi et le dimanche matin.

Les horaires sont les suivants :
Samedis :  11 à 12h, puis de 15h à 16h
Dimanches :  de 11h à 12h


> Payant : informations sur les tarifs  04.67.01.60.23
> Gratuit pour les moins de 12 ans - Enfant obligatoirement accompagné d'un parent.
> Sur réservation (lieu précisé lors de la réservation)


#ESCAPADENATURE
#ESCAPADEALINFINI"
11725,"Visite guidée ""L'Esprit Palavasien"" avec l'Office de Tourisme de Palavas-les-Flots - Sur réservation – Tarif : 5€/adulte et 3€/enfant – Infos : 04 67 07 73 34 - Réservation au comptoir ou sur la billetterie en ligne de l'Office de Tourisme : https://billetterie.ot-palavaslesflots.com/

Lieu de départ des visites guidées : se présenter à l'Office de Tourisme de Palavas (situé au rez-de-chaussée du Phare de la Méditerranée).

Partez à la découverte des sites incontournables de la ville, et mettez-vous dans la peau d'un palavasien et de ses aventures.

* Pendant la saison estivale, nous vous conseillons de vous munir d'un chapeau ou d'une casquette, d'une crème solaire et d'une bouteille d'eau.


Toutes les dates de la visite guidée ""L'Esprit Palavasien"" pour l'année 2025 :
Février : 26/02 de 14h30 à 16h30
Avril : 15/04 & 29/04 de 9h30 à 11h30
Mai : 22/05 de 14h30 à 16h30
Juin : 19/06 de 9h30 à 11h30
Juillet : 08/07 & 29/07 de 9h à 11h ; 16/07 de 18h à 20h
Août : 06/08 & 19/08 de 9h à 11h
Septembre : 23/09 de 14h30 à 16h30
Novembre : 01/11 de 14h30 à 16h30"
8458,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
3111,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
8668,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
11920,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
11921,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
11925,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
11929,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
2627,"Revivez l'essor prodigieux et le destin exceptionnel que Montpellier s'est forgé au cours des siècles : optez pour une découverte du centre historique de Montpellier avec notre visite de 2h.

Un voyage de mille ans au fil des ruelles du centre historique pour vous faire vivre l'ambiance si particulière de l'Ecusson.

La visite inclut la découverte de l’arc de triomphe, du mikvé (bain rituel juif médiéval) et une cour d'hôtel particulier.

- Rendez-vous 10 minutes avant à l'Office de Tourisme de Montpellier – extérieur façade côté Esplanade Charles-de-Gaulle.
- Gratuités : enfants moins de 6 ans accompagnés d'un parent, guides diplômés avec carte, détenteurs de la City Card.
- 1 adulte accompagné de 1 ou de 2 enfants de moins de 6 ans maximum.
- Visite interdite aux chiens de petites ou grandes tailles sauf chien guide.

Durée: 2h

Réservation obligatoire

IMPORTANT : 12/04, 13/04 et 21/06 : Accès à l'arc de triomphe sous réserve (événements sportifs et culturels)

LE BON PLAN : La réservation d'une visite guidée vous offre  10% de remise sur tous les produits de la boutique de l'Office de Tourisme (sauf tickets TAM), sur présentation de votre voucher."
5108,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
4006,"🎤 Concert hommage à Michael Jackson - TRIBUTE 2 🎶

Venez revivre la magie de Michael Jackson avec un spectacle exceptionnel !

📅 Vendredi 16 mai à 20h30, salle la Parenthèse à Servian.

Ne manquez pas cet événement inoubliable ! ✨(Réservation souhaitée)"
12149,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
12157,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
12158,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
9107,"Un évènement est organisé sur deux jours  ""la fête de la nature ""  le samedi 24 mai 2025 à Coulobres et le dimanche 25 mai 2025 à Espondeilhan.

Samedi 24 mai 2025 à Coulobres   :

9 h 30 à 10 h 30 / 11 h à 12 h : Atelier cosmétique à la médiathèque - sur inscription
10 h -12 h : Fabrication de boules de graisse pour les oiseaux à la médiathèque 
10 h – 12 h 30 : Balade sur les insectes avec l'Office pour les insectes et leur environnement - sur inscription
10h -12h : Chasse au trésor animée par l'Agglo
Pique-nique avec Groupe musical
Balade en calèche avec le petit cheval Flocon
14 h - 15 h  / 15 h -16 h : Balades de reconnaissance des plantes  - sur inscription
13h 30 – 16 h30 : Jeu de piste
Vente de pâtisserie / crêpes / boissons par l'APE CE


Dimanche 25 mai 2025  Espondeilhan : 

De 10 h à 17h - Marché de producteurs et d'artisans
Promouvoir la consommation locale de produits de qualité, c’est donner un coup de pouce à nos artisans et à la nature
 De 10 h à 17h - Ateliers sur la découverte de la nature
Modelage en argile : impressions de fleurs méditerranéennes
Fabrication de bombes à fleurs (par l’association des parents d’élèves Coulobres Espondeilhan)
Atelier de création à partir de matériaux de récupération avec Art bio
Stand poétique sur la mythologie des plantes - Parce que derrière chaque plante se cache une légende... Mickaël Falguera - Je vous emmène
Quizz biodiversité animé par la MAIF
Concours de reconnaissance des plantes aromatiques
Escape Game Enigma Botanica (conçu par Tela Botanica). 60 minutes pour trouver la plante qui vous sauvera...

Pour déjeuner : 
Repas sur réservation
Brasucade / Méchoui / Glace
Petite restauration disponible sur place -sandwich saucisse, hot-dog, crêpes..."
9385,"Les Archives  vous font voyager au travers d'images, de croquis illustrant la diversité des paysages et des documents.

Tout public - Entrée libre
Du mardi au samedi, de 10h à 18h."
11956,"Une invitation à observer les hirondelles, les connaître et mieux les protéger !

 Demain la Terre ! et Sophie Giraud, habitante de La Boissière, vous proposent une sortie autour de l’observation des hirondelles et de leurs nids. Rendez-vous à 18h30 à la salle Laure Moulin pour une introduction en salle avant la sortie dans le village. Un verre de l’amitié avec les produits locaux vous sera proposé pour terminer.

Cette sortie vient en complément des animations de sensibilisation menées auprès de l’école.
En partenariat avec Julie Saugnac de la Fondation NaïaGaïa, Sophie Giraud habitante de La Boissière et la municipalité de La Boissière
Dans le cadre du projet d’éducation à l’environnement sur les hirondelles, soutenu et financé par la Fondation NaïaGaïa

Entrée libre, à partir de 6 ans.
Instructions particulières :prévoir vos jumelles (prêt en cas de besoin), vêtement adapté à la météo"
4267,"Le dimanche 25 mai 2025, la fête de la transhumance à Lespignan vous invite à une journée festive, riche en traditions et découvertes locales.

 À partir de 9h00, explorez le marché de producteurs locaux, puis à 9h30, partez en balade nature « À la rencontre du troupeau ». 

À 10h30, assistez au départ du troupeau de Nissan vers Lespignan, un moment unique. 

Toute la journée, profitez de divers ateliers et stands : démonstration de filage et fabrication de moutons, découverte de la nature et des étangs, mini-ferme pédagogique, et balades à poneys. 

À 11h30, le défilé du troupeau, des chevaux, des ânes et des calèches traversera le village, arrivant place des Buissonnets.

À 12h00, savourez un repas traditionnel de la transhumance (réservation conseillée). L’après-midi, participez à une balade en calèche, découvrez le spectacle des Treilles à 14h30, ou assistez à des démonstrations de tonte à 15h00 et 16h00. 

Une balade nature « Découverte de l’étang de la Matte » à 15h00 vous permettra de plonger dans la beauté du paysage. 

L’animation musicale de « La Pena del Sol » et le stand d’accueil enrichiront cette journée pleine de convivialité. 

Un événement incontournable à Lespignan !"
10373,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
11774,"Le Marché Gourmand, rendez-vous incontournable d'Assas !

Situé sur l’esplanade autour de la fontaine et face à la brasserie l’Inattendue, ce marché est le rendez-vous convivial et familial tous les vendredis de 18h30 à 21h.

Offrant bien plus qu’une simple expérience culinaire, c’est un moment de convivialité où se mêleront rencontres, découvertes et délices gustatifs. Que ce soit pour se restaurer sur place, prendre un verre ou pour faire ses emplettes, ce marché sera le lieu idéal pour satisfaire les gourmands et les gourmets.
 
Ne ratez pas l’occasion de passer un bon moment en famille ou entre amis et découvrir de nouvelles saveurs !"
12154,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
7742,"Revivez l'essor prodigieux et le destin exceptionnel que Montpellier s'est forgé au cours des siècles : optez pour une découverte du centre historique de Montpellier avec notre visite de 2h.

Un voyage de mille ans au fil des ruelles du centre historique pour vous faire vivre l'ambiance si particulière de l'Ecusson.

La visite inclut la découverte de l’arc de triomphe, du mikvé (bain rituel juif médiéval) et une cour d'hôtel particulier.

- Rendez-vous 10 minutes avant à l'Office de Tourisme de Montpellier – extérieur façade côté Esplanade Charles-de-Gaulle.
- Gratuités : enfants moins de 6 ans accompagnés d'un parent, guides diplômés avec carte, détenteurs de la City Card.
- 1 adulte accompagné de 1 ou de 2 enfants de moins de 6 ans maximum.
- Visite interdite aux chiens de petites ou grandes tailles sauf chien guide.

Durée: 2h

Réservation obligatoire

IMPORTANT : 12/04, 13/04 et 21/06 : Accès à l'arc de triomphe sous réserve (événements sportifs et culturels)

LE BON PLAN : La réservation d'une visite guidée vous offre  10% de remise sur tous les produits de la boutique de l'Office de Tourisme (sauf tickets TAM), sur présentation de votre voucher."
11441,"Revivez l'essor prodigieux et le destin exceptionnel que Montpellier s'est forgé au cours des siècles : optez pour une découverte du centre historique de Montpellier avec notre visite de 2h.

Un voyage de mille ans au fil des ruelles du centre historique pour vous faire vivre l'ambiance si particulière de l'Ecusson.

La visite inclut la découverte de l’arc de triomphe, du mikvé (bain rituel juif médiéval) et une cour d'hôtel particulier.

- Rendez-vous 10 minutes avant à l'Office de Tourisme de Montpellier – extérieur façade côté Esplanade Charles-de-Gaulle.
- Gratuités : enfants moins de 6 ans accompagnés d'un parent, guides diplômés avec carte, détenteurs de la City Card.
- 1 adulte accompagné de 1 ou de 2 enfants de moins de 6 ans maximum.
- Visite interdite aux chiens de petites ou grandes tailles sauf chien guide.

Durée: 2h

Réservation obligatoire

IMPORTANT : 12/04, 13/04 et 21/06 : Accès à l'arc de triomphe sous réserve (événements sportifs et culturels)

LE BON PLAN : La réservation d'une visite guidée vous offre  10% de remise sur tous les produits de la boutique de l'Office de Tourisme (sauf tickets TAM), sur présentation de votre voucher."
11924,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
11930,Marché aux Halles  - Tous les jeudis de l'année de 8h - 13h
12155,Marché aux Halles  - Tous les samedis de l'année de 8h - 13h
11437,"Revivez l'essor prodigieux et le destin exceptionnel que Montpellier s'est forgé au cours des siècles : optez pour une découverte du centre historique de Montpellier avec notre visite de 2h.

Un voyage de mille ans au fil des ruelles du centre historique pour vous faire vivre l'ambiance si particulière de l'Ecusson.

La visite inclut la découverte de l’arc de triomphe, du mikvé (bain rituel juif médiéval) et une cour d'hôtel particulier.

- Rendez-vous 10 minutes avant à l'Office de Tourisme de Montpellier – extérieur façade côté Esplanade Charles-de-Gaulle.
- Gratuités : enfants moins de 6 ans accompagnés d'un parent, guides diplômés avec carte, détenteurs de la City Card.
- 1 adulte accompagné de 1 ou de 2 enfants de moins de 6 ans maximum.
- Visite interdite aux chiens de petites ou grandes tailles sauf chien guide.

Durée: 2h

Réservation obligatoire

IMPORTANT : 12/04, 13/04 et 21/06 : Accès à l'arc de triomphe sous réserve (événements sportifs et culturels)

LE BON PLAN : La réservation d'une visite guidée vous offre  10% de remise sur tous les produits de la boutique de l'Office de Tourisme (sauf tickets TAM), sur présentation de votre voucher."
11309,"Venez découvrir l'ancienne résidence d'été des archevêques de Narbonne et sa toute nouvelle scénographie. Il fut à la fin du Moyen-Âge une splendide demeure que certains n'hésitent pas à qualifier de palais.
Le château a certes subi les outrages du temps, mais heureusement, ce qui fut la partie la plus prestigieuse du logis est toujours là pour témoigner de la splendeur passée.
Au 1er étage d'une vaste tour rectangulaire couronnée au sud de mâchicoulis sur arcs et contreforts, se trouve une magnifique salle d'apparat. Au plafond, vous pouvez voir sur les closoirs de nombreuses scènes de l'époque : animaux, scènes galantes et religieuses.  Une table numérique tactile, une mise en lumière, un récit sonore vous plongent au plus près de l'Histoire et de ce monument emblématique de Capestang.

Visite guidée de 17h à proposée par Dominique Saillard, guide conférencier."
11776,"Le Marché Gourmand, rendez-vous incontournable d'Assas !

Situé sur l’esplanade autour de la fontaine et face à la brasserie l’Inattendue, ce marché est le rendez-vous convivial et familial tous les vendredis de 18h30 à 21h.

Offrant bien plus qu’une simple expérience culinaire, c’est un moment de convivialité où se mêleront rencontres, découvertes et délices gustatifs. Que ce soit pour se restaurer sur place, prendre un verre ou pour faire ses emplettes, ce marché sera le lieu idéal pour satisfaire les gourmands et les gourmets.
 
Ne ratez pas l’occasion de passer un bon moment en famille ou entre amis et découvrir de nouvelles saveurs !"
11199,"Ne manquez pas l'exposition Passages à Juvignac du 01 avril au 28 mai 2025 !

Comédien puis metteur en scène, Daniel Carraz a longtemps peint de façon confidentielle, privilégiant la scène comme terrain public d’expression et considérant la peinture comme un simple terrain d’évasion.

Puis l’acte de peindre s’est imposé, toujours plus fort.

Véritable théâtre de formes et aboutissement d’une recherche menée en 2022 et 2023 sur l’expression de souvenirs et d’impressions, l’exposition « Passages » présente une abstraction libre et intuitive.

Sensible à l’impermanence des choses, Daniel Carraz travaille sur les notions d’effacement, de transparence, d’accumulation et d’empilement.

Entrée libre, plus d'infos sur culture@juvignac.fr ou au 04 67 10 42 42
Lundi au vendredi I 8h30-12h et 13h30-17h30 I Hôtel de Ville"
10115,"18h

Rencontre publique sur le projet « Pépite » avec les élus et conseillers municipaux de Pays de l’Or Agglomération

Nautilus"
10097,"La ludothèque Jeux 2Mô vous propose ""Les Mercredis Nature"",  à partir de 6 ans
un mercredi par mois de 14h à 17h. Adhésion et participation libre au trimestre.
Animation nature - grands jeux - cabanes/construction bois - entraide/écologie
Renseignement et inscription au 06 52 31 63 23 et 06 26 20 22 54 ou directement à la ludothèque de Villemagne l'Argentière
avec la participation active du collectif Avenir En Nous"
6386,"GRATUIT - plus d'information sur notre site internet : http://domainederestinclieres.herault.fr

Land'Art
Les2, 12 et 24 juin
de 14h30 à 16h30
Rdv à l'entrée des expositions (rdc du château)

Venez créer votre œuvre éphémère sur le domaine de Restinclières.

Tout public - sur inscription - les enfants restent sous la responsabilité d'un adulte accompagnateur.

Avec Aude Hautesserre et Florence Richard, animatrices environnement à la MDE

Vous ne voulez rien manquer de notre programmation, notre actualité : inscrivez-vous à notre newsletter en quelques clics sur notre site internet : http://domainederestinclieres.herault.fr
(Bandeau bas de page du site internet)

Découvrez le Domaine de Restinclières - Prades -le-Lez:
LES + DU DOMAINE DE RESTINCLIERES
240 hectares d'Espaces Naturel Sensible (ENS)
Ouverture 7j/7
Parking gratuit
Aire de jeux
Aires de pique-nique
Divers sentiers de randonnées et de balades
Accès libre et gratuit à tous les équipements"
11026,"Sortie nature : Les Arbres ont une histoire...
Sortie proposée par Guy Chauvet, président de l'association botanique et mycologique de l'Hérault
Venez découvrir l'histoire des arbres du parc de l'Usclade. 25 espèces ornent cet espace; parmi les espèce méditerranéennes, d'autres essences ont été intégrées.
Connaissez vous l'histoire du ginko et les légendes autour du Séquoia ou de l'arbre de Judée ?
Gratuit - RDV 15h dans le parc, inscription Office de Tourisme Grand Orb - Lamalou les Bains : 04 67 95 70 91"
8491,"Chasse aux œufs pour les enfants - Gratuit, sur réservation (places limitées à 10 enfants par créneau horaire) - Office de Tourisme de Palavas-les-Flots - Réservation au comptoir de l'Office de Tourisme ou sur notre billetterie en ligne (ouverture des créneaux en ligne prochainement)

Le Week-End Famille Plus pour Pâques fait son grand retour à l'Office de Tourisme de Palavas-les-Flots du samedi 19 avril au lundi 21 avril ! 
À cette occasion, de nombreuses activités (la plupart gratuites) sont organisées pour les enfants à l'Office de Tourisme : Concours de dessin, chasses aux œufs, châteaux de sable, jeux géants en bois, ateliers créatifs et séance de maquillages, chasses aux trésors, visites guidées...
Des prestataires seront également de la partie et proposeront des activités gratuites !

En résumé, le Week-End Famille Plus c'est : 3 jours d'animations, de cadeaux et de surprises pour tous les enfants !

Les créneaux pour participer à la chasse aux œufs :
Dimanche 20 avril : de 9h30 à 10h, de 10h30 à 11h ou de 11h30 à 12h
Lundi 21 avril : de 9h30 à 10h, de 10h30 à 11h ou de 11h30 à 12h"
8492,"En libre disposition de 10h à 16h : Jeux géants en bois - Gratuit - Devant le parvis de l'Office de Tourisme de Palavas-les-Flots 

Le Week-End Famille Plus pour Pâques fait son grand retour à l'Office de Tourisme de Palavas-les-Flots du samedi 19 avril au lundi 21 avril ! 
À cette occasion, de nombreuses activités (la plupart gratuites) sont organisées pour les enfants à l'Office de Tourisme : Concours de dessin, chasses aux œufs, châteaux de sable, jeux géants en bois, ateliers créatifs et séance de maquillages, chasses aux trésors, visites guidées...
Des prestataires seront également de la partie et proposeront des activités gratuites !

En résumé, le Week-End Famille Plus c'est : 3 jours d'animations, de cadeaux et de surprises pour tous les enfants !"
10874,"Visites commentées du village de Lunas.
à la découverte du petit patrimoine
Visites proposées par l'association les Amis de Lunas, les jours de marché de producteurs

Durée 2h30 - Départ de l'Office de tourisme à 15h (16h30 en juillet et août)
4€/personnes, paiement au guide le jour de la visite - gratuit pour les - de 18ans et pour les adhérents de l'association ADL.
 Inscription à l'Office de Tourisme Grand Orb, bureau de Lunas : 04 67 23 76 67
min 5 personnes pour maintenir la visite"
7588,"Samedi 5 , 12 , 19 , 26 avril a 10h30.
Entrée libre et sans réservation."
6273,"Tous les dimanches, venez tenter votre chance lors du loto du Poujol sur Orb, organisé par les associations du village 
Retrouvez la liste des organisateurs en photo.
Salle Polyvalente du Poujol sur Orb à 16h30"
6394,"GRATUIT - plus d'information sur notre site internet : http://domainederestinclieres.herault.fr

Les ateliers de la cabane : découverte du cyanotype
les 15 avril, 9 mai et 11 juin
de 14h à 16h
Rdv à l'entrée des expositions (rdc du château)

Venez profiter des rayons du soleil pour créer des images à base d'éléments végétaux et découvrir cette technique photographique sur les traces d'Anna Atkins, botaniste pionnière du cyanotype au 19ème siècle.

Tout public - sur inscription - les enfants restent sous la responsabilité d'un adulte accompagnateur.

Avec Elise Raynaud , animatrice environnement à la MDE

Vous ne voulez rien manquer de notre programmation, notre actualité : inscrivez-vous à notre newsletter en quelques clics sur notre site internet : http://domainederestinclieres.herault.fr
(Bandeau bas de page du site internet)

Découvrez le Domaine de Restinclières - Prades -le-Lez:
LES + DU DOMAINE DE RESTINCLIERES
240 hectares d'Espaces Naturel Sensible (ENS)
Ouverture 7j/7
Parking gratuit
Aire de jeux
Aires de pique-nique
Divers sentiers de randonnées et de balades
Accès libre et gratuit à tous les équipements"
11730,"Visite guidée ""Les coulisses du Phare"" avec l'Office de Tourisme de Palavas-les-Flots - Sur réservation – Tarif : 5€/adulte et 3€/enfant – Infos : 04 67 07 73 34 - Réservation au comptoir ou sur la billetterie en ligne de l'Office de Tourisme : https://billetterie.ot-palavaslesflots.com/

Partez à la découverte de cet édifice chargé d’histoire. Prenez de la hauteur en découvrant son palais des congrès et sa vue panoramique à 360° à 34 mètres. 

Lieu de départ des visites guidées : se présenter à l'Office de Tourisme de Palavas (situé au rez-de-chaussée du Phare de la Méditerranée).

* Pendant la saison estivale, nous vous conseillons de vous munir d'un chapeau ou d'une casquette, d'une crème solaire et d'une bouteille d'eau.

 
Toutes les dates de la visite guidée ""Les coulisses du phare"" pour l'année 2025 :
Février : 19/02 de 15h à 16h
Mars : 04/03 de 15h à 16h
Avril : 20/04 de 10h à 11h et 11h15 à 12h15
Juin : 17/06 de 15h à 16h
Juillet : 24/07 de 14h à 15h et  de 15h30 à 16h30
Août : 20/08 de 14h à 15h et de 15h30 à 16h30
Septembre : 09/09 de 15h à 16h
Octobre : 24/10 de 15h à 16h
Décembre : 30/12 de 10h30 à 11h30"
11236,"Insolite, bucolique, chargée d’histoire... laissez-vous conter l’histoire de Villeneuvette, manufacture de draps fondée au XVIIème siècle sous le roi Louis XIV et en activité jusqu’en 1954 ! Revivez son passé industriel grâce aux vestiges de l’usine et découvrez au fil des rues, la vie quotidienne de cette cité-usine, de sa naissance à nos jours.

Par Patrick Hernandez ou Mélanie Torres-Arnau, guides-conférenciers.

Suivie d’une visite et dégustation de vins, proposée par le domaine viticole du Mas René Guilhem.

À partir du mois d’avril, profitez d’un marché bio le mardi à partir de 16h30, avec produits locaux et animations culturelles !

Niveau Facile. Lieu de rendez-vous donné à l’inscription

Visite du 3 mai : Durée 2h30. 
Visite du 24 juin : Durée 1h30."
9065,"Adoptez un nouveau point de vue sur le patrimoine qui nous entoure. Depuis l’eau, appréciez le site caché et méconnu des  Moulins de Saint-Pierre, la faune et flore, l’histoire de l’Orb et de ses riverains, les ponts, le village de Sérignan.

6 km de descente, navette jusqu’à la mise à l’eau aux Moulins de Saint-Pierre .
Chaque participant signe un contrat de location du matériel avec Bayou Canoë avant le départ. 
Cette balade est accompagnée par une guide-conférencière et non un professionnel du canoë.
Dernière réservation la veille à 15h.

Pour utiliser votre City Card, réservez directement auprès de l'accueil, par téléphone au 04 99 41 36 36 ou dans nos Bureaux d'Information Touristique."
